GP,Ortg,usg,ORB_per,DRB_per,AST_per,TO_per,FT_per,twoP_per,TPM,TP_per,stl_per,ftr,porpag,bpm,gbpm,blk,pts,height_cm,Height_Impact,REB_per,FT_efficiency
22,107.3,17.1,4.8,10.1,10.9,14.1,0.6,0.579,12,0.343,4.2,18.5,0.617208,3.74017,1.78674,0.0909,2.9091,190.5,712.502385,14.899999999999999,11.1
28,90.8,12.1,10.0,11.5,0.0,33.4,0.688,0.52,0,0.0,1.0,64.0,-0.239766,-6.75028,-9.46698,0.5333,1.5,203.2,-1371.656896,21.5,44.032
29,72.3,14.1,3.5,7.0,12.4,25.6,0.5,0.333,7,0.2,3.6,21.3,-0.706915,-4.60354,-5.73742,0.1034,1.1724,187.96,-865.2813784,10.5,10.65
6,57.6,7.0,0.0,0.0,21.2,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.173496,-15.7101,-13.2426,0.0,0.25,177.8,-2793.2557800000004,0.0,0.0
32,77.7,19.4,6.1,13.9,1.9,19.8,0.386,0.424,0,0.0,1.3,30.6,-0.599182,-8.11475,-7.56571,0.3125,4.3438,210.82,-1710.7515950000002,20.0,11.8116
31,98.8,22.6,12.8,13.9,6.0,15.7,0.302,0.545,0,0.0,0.8,42.6,0.653815,0.126466,-0.610351,0.6774,3.9677,205.74,26.01911484,26.700000000000003,12.8652
25,66.8,10.8,6.0,11.1,3.1,31.6,0.357,0.417,0,0.0,1.7,116.7,-0.543022,-9.33741,-7.88117,0.0,0.6,208.28,-1944.7957548000002,17.1,41.661899999999996
22,85.7,14.8,3.7,8.1,23.3,29.9,0.708,0.348,2,0.154,1.8,66.7,-0.367172,-7.38422,-7.20564,0.0,1.7727,175.26,-1294.1583971999999,11.8,47.2236
34,115.0,17.1,5.1,12.0,10.2,10.4,0.815,0.378,30,0.37,0.9,22.9,1.04401,3.68093,3.66208,0.2647,4.1176,198.12,729.2658516,17.1,18.6635
4,103.0,13.2,0.0,0.0,0.0,0.0,0.5,0.0,0,0.0,0.0,0.0,0.0329762,-5.7881,-9.34672,0.0,0.25,190.5,-1102.63305,0.0,0.0
22,75.8,17.1,2.0,12.4,3.9,6.3,0.0,0.375,7,0.206,0.5,2.4,-0.187781,-5.87767,-7.00423,0.0,1.2273,198.12,-1164.4839804,14.4,0.0
20,93.6,12.3,15.5,10.6,5.2,8.4,0.5,0.167,0,0.0,3.1,85.7,-0.00746097,7.51584,1.66723,0.35,0.25,213.36,1603.5796224,26.1,42.85
36,102.0,20.9,11.2,16.4,6.5,15.1,0.563,0.475,1,0.2,0.5,51.6,1.60646,1.34594,1.48365,0.5,6.3611,203.2,273.495008,27.599999999999998,29.0508
14,80.2,19.2,23.5,26.4,2.8,26.6,0.583,0.125,0,0.0,2.0,150.0,-0.0778443,-0.430923,-6.76638,0.4286,0.6429,205.74,-88.65809802,49.9,87.44999999999999
21,114.2,11.2,9.5,13.0,0.0,19.7,0.526,0.769,0,0.0,1.3,146.2,0.384829,-3.68173,-2.8977,0.0476,1.4286,200.66,-738.7759417999999,22.5,76.9012
29,76.3,26.8,3.9,15.6,10.3,22.7,0.683,0.315,15,0.319,2.9,31.1,-0.332852,-5.52614,-3.66656,0.0345,6.1379,187.96,-1038.6932744,19.5,21.241300000000003
22,144.2,14.0,13.7,15.4,5.1,5.8,0.0,0.0,8,0.471,0.8,0.0,0.504331,3.55596,1.4218,0.0455,1.0909,198.12,704.5067951999999,29.1,0.0
19,79.2,27.5,3.4,10.5,0.0,13.0,0.5,0.273,1,0.333,5.3,71.4,0.01068,-4.65002,-2.72902,0.05,0.75,198.12,-921.2619623999999,13.9,35.7
14,77.3,20.9,3.9,11.9,0.0,26.8,1.0,0.3,4,0.4,0.9,10.0,-0.12249,-12.3473,-9.89046,0.0667,1.4667,200.66,-2477.609218,15.8,10.0
12,40.9,18.0,5.8,6.8,25.5,69.5,0.333,0.0,0,0.0,1.0,150.0,-0.853945,-16.5943,-16.148,0.0,0.0833,180.34,-2992.616062,12.6,49.95
31,81.9,18.5,5.2,10.5,3.8,14.2,0.6,0.344,25,0.275,1.8,19.0,-0.329039,-6.27035,-6.44278,0.3226,5.1613,195.58,-1226.355053,15.7,11.4
12,34.6,3.4,0.0,4.1,5.5,0.0,0.0,0.0,0,0.0,2.1,0.0,-0.508417,-3.75425,-10.4529,0.0,0.0714,193.04,-724.72042,4.1,0.0
29,107.3,17.1,3.6,5.8,14.3,21.4,0.805,0.552,20,0.339,1.8,46.6,0.724927,-2.03943,-1.0828,0.0345,4.3103,180.34,-367.79080619999996,9.4,37.513000000000005
2,0.0,7.4,0.0,0.0,0.0,100.0,0.0,0.0,0,0.0,0.0,0.0,-1.25462,-10.7128,-17.0604,0.0,1.75,193.04,-2067.998912,0.0,0.0
11,97.9,20.1,13.3,8.5,7.4,12.7,0.286,0.483,0,0.0,3.2,24.1,0.297513,-0.0423546,-2.25582,0.1818,2.7273,213.36,-9.036777456000001,21.8,6.8926
30,105.4,18.3,9.5,21.6,6.8,14.8,0.367,0.618,0,0.0,1.5,54.2,1.10703,-0.660449,-0.728186,1.6,9.5333,200.66,-132.52569634,31.1,19.8914
26,91.5,20.5,8.5,7.1,12.2,19.1,0.611,0.314,6,0.375,2.6,35.3,0.280334,0.498779,0.618572,0.0385,1.9615,193.04,96.28429815999999,15.6,21.568299999999997
2,200.0,14.4,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.3071,-0.618399,14.6036,0.0,1.6667,198.12,-122.51720988000001,0.0,0.0
30,106.6,13.9,17.2,14.5,4.8,24.2,0.571,0.548,0,0.0,2.1,22.6,0.23118,1.56217,-3.26487,0.3,1.2667,208.28,325.3687676,31.7,12.9046
6,39.0,32.2,0.0,11.4,0.0,62.9,0.5,1.0,0,0.0,0.0,100.0,-0.304476,-27.4653,-36.4736,0.0,0.625,205.74,-5650.710822,11.4,50.0
16,81.9,12.7,6.0,5.1,3.9,22.6,0.353,0.381,3,0.375,1.9,58.6,-0.650791,-4.93224,-4.3976,0.1111,1.9444,190.5,-939.59172,11.1,20.6858
33,99.8,18.8,11.0,20.4,6.4,25.0,0.644,0.558,0,0.0,1.8,62.1,0.938651,6.54519,5.09262,1.1818,4.3636,203.2,1329.9826079999998,31.4,39.9924
5,0.0,35.0,0.0,23.9,0.0,74.0,0.0,0.0,0,0.0,13.0,0.0,-0.320643,-21.0928,-21.5847,0.0,0.0,195.58,-4125.329824,23.9,0.0
31,101.7,22.0,6.6,14.4,10.5,19.6,0.733,0.506,35,0.324,4.1,35.6,2.19471,3.77407,4.42526,1.0,11.5161,203.2,766.891024,21.0,26.0948
32,100.2,18.6,8.1,14.1,12.2,25.3,0.641,0.551,0,0.0,1.9,59.8,0.615746,2.7912,1.58551,0.75,4.9688,215.9,602.62008,22.2,38.3318
29,99.9,17.8,3.5,11.5,3.9,11.4,0.574,0.479,34,0.354,1.1,28.1,0.662259,-5.43498,-4.1332,0.1724,7.7586,195.58,-1062.9733884000002,15.0,16.1294
25,95.0,16.1,6.7,6.5,12.3,20.2,0.583,0.548,8,0.267,2.7,16.7,0.159471,-2.57908,-3.26292,0.04,3.08,190.5,-491.31474,13.2,9.736099999999999
29,100.4,18.0,6.4,7.8,16.8,30.3,0.778,0.5,0,0.0,2.1,96.4,0.673553,2.04703,1.56781,0.2414,3.3793,195.58,400.3581274,14.2,74.9992
4,0.0,8.9,0.0,23.4,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.389589,-17.2466,-13.1062,0.0,0.4,187.96,-3241.6709360000004,23.4,0.0
35,95.4,19.8,6.4,10.6,8.1,27.9,0.536,0.551,37,0.389,1.7,29.0,0.701005,-1.06951,-1.68567,0.3429,7.1143,200.66,-214.6078766,17.0,15.544
30,115.1,21.5,12.2,28.2,3.6,14.1,0.681,0.603,14,0.275,1.5,44.1,3.71853,9.67551,9.8487,3.6333,12.9,210.82,2039.7910181999998,40.4,30.032100000000003
26,85.5,28.4,2.3,10.9,32.3,34.3,0.727,0.421,9,0.321,3.1,38.8,0.229125,-6.6362,-5.32841,0.0769,3.8077,185.42000000000002,-1230.484204,13.2,28.207599999999996
32,121.5,15.2,9.8,16.6,0.0,12.6,0.429,0.689,0,0.0,0.6,31.1,0.517892,-1.26281,-0.862842,0.6061,2.3939,203.2,-256.602992,26.400000000000002,13.3419
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.974172,-4.5627,-6.73923,0.0,0.0,175.26,-799.658802,0.0,0.0
4,37.7,16.8,0.0,5.1,0.0,14.4,0.0,0.0,1,0.25,2.4,0.0,-1.08744,-13.9356,-12.6216,0.0,0.75,187.96,-2619.3353760000005,5.1,0.0
28,98.0,29.6,4.2,14.6,26.5,18.6,0.759,0.473,10,0.196,2.2,34.4,1.99385,-1.22531,-1.53932,0.1333,13.0667,190.5,-233.42155499999998,18.8,26.1096
33,93.9,16.2,4.0,15.5,13.3,16.1,0.794,0.341,8,0.19,2.0,48.5,0.269973,0.648199,-0.149215,0.1212,4.0606,193.04,125.12833495999999,19.5,38.509
15,93.6,16.7,9.7,7.1,0.0,32.3,0.4,0.692,0,0.0,0.9,38.5,0.0875202,5.74022,0.883171,0.8667,1.3333,220.98,1268.4738155999999,16.799999999999997,15.4
30,93.5,18.7,7.1,12.8,11.2,23.1,0.5,0.553,9,0.3,1.6,49.4,0.292019,-0.454934,-0.582874,0.3,3.2667,193.04,-87.82045936,19.9,24.7
28,70.1,17.1,8.5,14.3,3.6,19.6,0.0,0.455,0,0.0,0.0,21.4,-0.123713,-11.9383,-15.1234,0.0,0.3571,208.28,-2486.509124,22.8,0.0
9,110.1,30.3,6.3,6.4,13.0,30.2,1.0,1.0,2,0.4,3.1,25.0,0.220789,-7.58319,-11.244,0.0909,1.8182,190.5,-1444.597695,12.7,25.0
20,86.1,21.9,4.7,9.8,11.9,18.7,0.565,0.507,4,0.154,3.3,24.7,0.101653,-4.99475,-3.13776,0.0,4.65,190.5,-951.499875,14.5,13.955499999999999
13,87.9,21.0,12.0,16.2,4.7,14.3,0.5,0.25,1,0.5,3.0,80.0,0.0310605,-5.03892,-0.437767,0.0769,0.8462,195.58,-985.5119736,28.2,40.0
33,96.9,27.2,5.6,10.4,16.8,21.0,0.637,0.478,17,0.266,2.1,59.4,2.79571,0.778603,0.958423,0.4545,14.1212,193.04,150.30152312,16.0,37.8378
25,103.0,25.5,1.7,8.2,13.9,13.3,0.777,0.339,96,0.374,1.9,30.1,2.22146,-1.60343,0.466905,0.04,18.12,180.34,-289.1625662,9.899999999999999,23.387700000000002
32,107.3,23.0,10.9,14.8,10.5,20.3,0.612,0.593,8,0.308,3.6,52.8,1.90567,5.27156,5.37399,0.2188,7.375,193.04,1017.6219424,25.700000000000003,32.3136
30,81.2,18.3,10.2,19.9,11.1,29.0,0.4,0.431,0,0.0,0.7,20.8,-0.388628,-7.15619,-7.57901,0.3226,2.6129,208.28,-1490.4912531999998,30.099999999999998,8.32
31,109.4,13.7,8.6,18.6,8.0,21.0,0.682,0.717,10,0.222,1.8,44.9,0.772866,2.89862,0.912847,0.5484,4.3871,200.66,581.6370892,27.200000000000003,30.6218
20,78.7,17.5,4.9,6.3,11.9,27.5,0.625,0.455,3,0.2,1.9,30.8,-0.182902,-2.41724,-4.87387,0.1,1.2,193.04,-466.62400959999997,11.2,19.25
1,46.7,39.6,66.6,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.227616,-36.8483,-16.0967,0.0,0.0,198.12,-7300.385196,66.6,0.0
28,102.6,12.2,9.2,14.4,2.1,19.8,0.538,0.538,0,0.0,0.3,50.0,0.0997578,-1.62942,-3.79175,0.1786,1.25,215.9,-351.791778,23.6,26.900000000000002
3,0.0,16.5,0.0,0.0,0.0,60.5,0.0,0.0,0,0.0,0.0,0.0,-0.585815,-17.1554,-25.8924,0.0,0.0,193.04,-3311.6784159999997,0.0,0.0
28,92.0,21.4,3.7,12.0,10.9,21.3,0.829,0.5,21,0.28,1.5,27.6,0.615415,-2.40018,-1.00197,0.2857,5.1429,198.12,-475.5236616,15.7,22.8804
